asm: 3; hack: 0000000000000011; instruction_number: 671
asm: 2; hack: 0000000000000010; instruction_number: 673
asm: 0; hack: 0000000000000000; instruction_number: 676
asm: 3; hack: 0000000000000011; instruction_number: 680
asm: 0; hack: 0000000000000000; instruction_number: 683
asm: 0; hack: 0000000000000000; instruction_number: 687
asm: 0; hack: 0000000000000000; instruction_number: 692
asm: 3; hack: 0000000000000011; instruction_number: 695
asm: 2; hack: 0000000000000010; instruction_number: 699
asm: 0; hack: 0000000000000000; instruction_number: 703
asm: 3; hack: 0000000000000011; instruction_number: 707
asm: 0; hack: 0000000000000000; instruction_number: 710
asm: 0; hack: 0000000000000000; instruction_number: 714
asm: 0; hack: 0000000000000000; instruction_number: 719
asm: 3; hack: 0000000000000011; instruction_number: 722
asm: 3; hack: 0000000000000011; instruction_number: 727
asm: 0; hack: 0000000000000000; instruction_number: 731
asm: 1; hack: 0000000000000001; instruction_number: 735
asm: 13; hack: 0000000000001101; instruction_number: 737
asm: 6774; hack: 0001101001110110; instruction_number: 739
asm: 14; hack: 0000000000001110; instruction_number: 741
asm: 27; hack: 0000000000011011; instruction_number: 743
asm: 95; hack: 0000000001011111; instruction_number: 745
asm: 0; hack: 0000000000000000; instruction_number: 747
asm: 1; hack: 0000000000000001; instruction_number: 750
asm: 3; hack: 0000000000000011; instruction_number: 753
asm: 3; hack: 0000000000000011; instruction_number: 755
asm: 0; hack: 0000000000000000; instruction_number: 758
asm: 1; hack: 0000000000000001; instruction_number: 762
asm: 13; hack: 0000000000001101; instruction_number: 764
asm: 6774; hack: 0001101001110110; instruction_number: 766
asm: 14; hack: 0000000000001110; instruction_number: 768
asm: 28; hack: 0000000000011100; instruction_number: 770
asm: 95; hack: 0000000001011111; instruction_number: 772
asm: 0; hack: 0000000000000000; instruction_number: 774
asm: 1; hack: 0000000000000001; instruction_number: 777
asm: 1; hack: 0000000000000001; instruction_number: 780
asm: 0; hack: 0000000000000000; instruction_number: 783
asm: 1; hack: 0000000000000001; instruction_number: 787
asm: 0; hack: 0000000000000000; instruction_number: 790
asm: 798; hack: 0000001100011110; instruction_number: 794
asm: 38; hack: 0000000000100110; instruction_number: 796
asm: 3; hack: 0000000000000011; instruction_number: 798
asm: 7; hack: 0000000000000111; instruction_number: 800
asm: 13; hack: 0000000000001101; instruction_number: 802
asm: 0; hack: 0000000000000000; instruction_number: 804
asm: 13; hack: 0000000000001101; instruction_number: 807
asm: 3; hack: 0000000000000011; instruction_number: 810
asm: 7; hack: 0000000000000111; instruction_number: 812
asm: 0; hack: 0000000000000000; instruction_number: 815
asm: 0; hack: 0000000000000000; instruction_number: 819
asm: 29; hack: 0000000000011101; instruction_number: 822
asm: 30; hack: 0000000000011110; instruction_number: 824
asm: 1; hack: 0000000000000001; instruction_number: 826
asm: 0; hack: 0000000000000000; instruction_number: 829
asm: 0; hack: 0000000000000000; instruction_number: 833
asm: 1; hack: 0000000000000001; instruction_number: 836
asm: 1; hack: 0000000000000001; instruction_number: 840
asm: 0; hack: 0000000000000000; instruction_number: 843
asm: 0; hack: 0000000000000000; instruction_number: 847
asm: 1; hack: 0000000000000001; instruction_number: 850
asm: 1; hack: 0000000000000001; instruction_number: 853
asm: 0; hack: 0000000000000000; instruction_number: 857
asm: 0; hack: 0000000000000000; instruction_number: 861
asm: 1; hack: 0000000000000001; instruction_number: 864
asm: 3; hack: 0000000000000011; instruction_number: 867
asm: 0; hack: 0000000000000000; instruction_number: 870
asm: 2; hack: 0000000000000010; instruction_number: 874
asm: 0; hack: 0000000000000000; instruction_number: 878
asm: 7356; hack: 0001110010111100; instruction_number: 882
asm: 38; hack: 0000000000100110; instruction_number: 884
asm: 3; hack: 0000000000000011; instruction_number: 886
asm: 8; hack: 0000000000001000; instruction_number: 888
asm: 13; hack: 0000000000001101; instruction_number: 890
asm: 0; hack: 0000000000000000; instruction_number: 892
asm: 13; hack: 0000000000001101; instruction_number: 895
asm: 3; hack: 0000000000000011; instruction_number: 898
